,brand,category_1stlevel,country,countrycode,countryoforigin,ddprate,ddpsubcategory,designer,freereturn,hasitemsonbag,hasusedwishlist,isreseller,issale,isusingmultipledevices,isvip,orderdate_gmt,orderportalid,platform,productid,promocode,region,returned,shipper,shiptypeid,size,storeid,style,tierafterorder,tierbeforeorder,userfraudstatus,userid
29,240,Clothing,7,7,8,0.0,N/D,615,0,Yes,Yes,No,Yes,No,Not VIP,2018-01-01 03:18:51.710000+00:00,416,,620,1,1,,4,4,145,262,617,T1,T2,7,403.0
30,13,Girls Clothing,130,130,2,0.0,"Trousers, overalls, shorts",87804,1,Yes,Yes,Yes,No,Yes,Not VIP,2018-01-19 20:03:05.503000+00:00,153690,web,99473,1,1,,2,2,48,1054,87826,T1,T1,4,61203.0
31,200,Bags,1,1,72,0.0,,6151,1,No,No,No,No,No,Not VIP,2018-01-13 02:09:15.040000+00:00,114268,web,6414,1,1,,3,2,1,341,6155,,,1,90949.0
32,145,Clothing,7,7,8,0.0," T-shirts, singlets and other vests",46938,0,No,No,No,No,No,Not VIP,2018-01-08 18:38:02.886000+00:00,57975,web,51909,1,1,,3,4,845,998,46951,T4,,3,49383.0
33,14,Shoes,1,1,1,12.0768,Other footwear with outer soles of leather,54902,1,Yes,No,No,No,No,Not VIP,2018-02-06 20:00:19.813000+00:00,255774,web,60989,1,1,,2,2,53,1115,54914,T3,T4,4,72774.0
34,15,Shoes,1,1,1,0.0,Footwear with outer soles of leather or composition leather,15,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-08 15:33:49.893000+00:00,265950,web,92440,1,1,,2,2,12,1071,15,T4,T4,4,124973.0
35,808,Accessories,14,14,1,0.0,Sunglasses,92591,1,No,Yes,No,No,Yes,Not VIP,2018-02-01 09:32:20.453000+00:00,379356,web,105170,1,3,,2,2,441,357,92613,,,2,257416.0
36,200,Bags,15,15,26,0.0,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar",27482,1,No,No,No,No,No,Not VIP,2018-01-26 09:55:17.143000+00:00,191619,web,29850,3263,4,,2,2,1,227,27490,T4,,3,143521.0
37,1317,Accessories,5,5,1,0.0,Sunglasses,149393,1,No,No,No,No,No,Not VIP,2018-02-05 11:18:42.220000+00:00,377197,web,175677,1,3,,2,2,1,861,149426,T4,T4,3,256318.0
38,674,Clothing,19,19,35,0.0,Jackets and blazers,101458,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-27 12:33:51.803000+00:00,197808,web,116044,1,4,,2,2,305,594,101480,T2,T2,3,147483.0
39,1181,Bags,15,15,1,12.9314,"Handbags, whether or not with shoulder strap, including those without handle",105080,1,Yes,Yes,No,No,No,Not VIP,2018-02-03 18:17:08+00:00,395352,app,132385,1,4,,2,2,17,15,105102,T4,T4,4,113498.0
40,27,Accessories,1,1,12,12.833,Articles of a kind normally carried in the pocket or in the handbag,5708,1,No,Yes,No,Yes,No,Not VIP,2018-01-05 16:17:54.556000+00:00,26711,web,8494,1,1,,2,2,17,34,5712,T4,,4,23729.0
41,409,Clothing,16,16,1,15.4853,Skirts,50970,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-09 07:17:07.053000+00:00,64645,,56467,924,4,,2,2,57,595,50982,T1,T2,3,53219.0
42,144,Clothing,11,11,1,0.0," T-shirts, singlets and other vests",97712,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-25 21:40:11.633000+00:00,189191,web,111445,1,3,,2,9,3,138,97735,T4,,3,142023.0
43,152,Clothing,4,4,1,19.4557,"Trousers, overalls, shorts",22470,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-10 01:38:59.980000+00:00,76101,web,24193,924,3,,2,2,120,183,22478,VIP,VIP,6,63250.0
44,33,Accessories,7,7,1,0.0,"Other e.g. braces, suspenders, garters and similar articles",15889,0,No,Yes,No,No,No,Not VIP,2018-01-24 16:43:37.413000+00:00,181506,web,109557,1,1,,2,2,6,15,15896,T4,,3,136954.0
45,176,Clothing,19,19,123,0.0,,62658,1,Yes,Yes,No,No,Yes,VIP New,2018-01-21 14:38:20.746000+00:00,163008,,69972,2520,4,,2,2,52,7,62674,VIP,VIP,6,17694.0
46,2,Clothing,3,3,4,0.0," T-shirts, singlets and other vests",28166,1,Yes,No,No,No,No,Not VIP,2018-02-06 09:08:28.863000+00:00,381954,,89023,1,2,,2,2,14,314,28174,,,3,258731.0
47,52,Shoes,1,1,1,5.0083,Other footwear with outer soles of leather,68134,1,No,No,No,Yes,No,Not VIP,2018-01-29 14:53:38.080000+00:00,376639,web,108489,1,1,,2,2,72,349,68151,,,4,256041.0
48,67,Clothing,20,20,20,0.0,,68186,1,Yes,Yes,No,No,No,VIP New,2018-01-26 23:29:28.850000+00:00,195205,app,115073,1,3,,2,2,3,341,68203,VIP,VIP,4,95618.0
49,11,Homeware,5,5,2,0.0,Articles of a kind normally carried in the pocket or in the handbag,24755,1,No,Yes,No,No,No,Not VIP,2018-02-13 20:34:17.616000+00:00,292011,web,26751,5082,3,,2,2,1,183,24763,T4,,3,206420.0
50,902,Bags,1,1,24,0.0,"Handbags, whether or not with shoulder strap, including those without handle",2264,1,Yes,Yes,Yes,No,Yes,Not VIP,2018-01-12 12:48:27.110000+00:00,106188,,78311,1,1,,2,2,17,1095,2267,VIP,VIP,6,1915.0
51,1814,Clothing,4,4,65,0.0,"Trousers, overalls, shorts",39687,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-08 09:46:49.463000+00:00,47500,web,43638,921,3,,1,3,33,78,39697,T4,T4,3,41107.0
52,82,Clothing,9,9,20,0.0,,3583,1,Yes,Yes,No,No,Yes,Not VIP,2018-01-01 16:56:00.076000+00:00,2638,web,3701,1,3,,2,2,57,216,3587,T4,,3,2526.0
53,419,Teen Boy Clothing,46,46,2,5.008,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",39527,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-08 09:36:53.266000+00:00,47260,,43458,921,4,,4,2,10,163,39537,VIP,VIP,6,40915.0
54,70,Clothing,24,24,10,28.26,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",22837,1,No,Yes,No,No,Yes,Not VIP,2018-01-23 13:42:09.340000+00:00,384048,web,87427,1,3,,2,2,2,1070,22845,T4,T4,3,259751.0
55,211,Bags,4,4,11,0.0,"Handbags, whether or not with shoulder strap, including those without handle",104704,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-02 13:49:46.226000+00:00,388718,web,120023,1,3,,1,3,1,116,104726,,,3,262129.0
56,99,Shoes,18,18,26,0.0,Footwear with outer soles of rubber or plastics,4678,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-13 14:26:29.720000+00:00,403071,web,4859,1,4,,2,2,198,1242,4682,T4,T4,4,199532.0
57,218,Clothing,9,9,1,0.0,Items of leather clothing & accessories,517,1,No,Yes,No,Yes,No,Not VIP,2018-01-08 17:43:03.166000+00:00,391636,web,522,921,3,,1,3,181,7,519,T3,T3,3,231431.0
58,203,Shoes,9,9,26,0.0,Footwear with outer soles of rubber or plastics,5065,1,No,No,No,Yes,No,Not VIP,2018-01-14 18:23:00.050000+00:00,389403,web,5861,1,3,,1,3,210,539,5069,,,3,262466.0
59,80,Activewear,1,1,20,0.0,,107519,1,No,Yes,No,No,Yes,Not VIP,2018-02-15 14:04:55.816000+00:00,300046,web,123545,1,1,,2,2,109,86,107542,T2,,3,211257.0
60,139,Boys Clothing,19,19,4,0.0,"T-shirts, singlets and other vests",13633,1,Yes,No,Yes,Yes,No,Not VIP,2018-01-09 20:09:09.960000+00:00,73587,,51654,924,4,,2,2,65,56,13640,VIP,VIP,6,60107.0
61,92,Clothing,3,3,1,0.0,Swimwear,2448,1,No,Yes,No,No,No,Not VIP,2018-01-08 00:29:48.583000+00:00,41416,web,2520,1,2,,2,2,29,15,2451,T3,T3,3,36280.0
62,28,Clothing,16,16,20,15.4853,N/D,84598,1,No,Yes,Yes,No,Yes,Not VIP,2018-02-07 02:55:44.100000+00:00,257339,web,95647,1,4,,2,2,71,78,84619,T1,T2,3,165771.0
63,106,Clothing,4,4,2,39.3721,Dresses,137505,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-01 20:34:27.003000+00:00,384891,web,160742,1,3,,2,2,19,666,137535,,,4,260161.0
64,67,Clothing,30,30,1,10.9244,"Trousers, overalls, shorts",95603,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-07 18:19:41.730000+00:00,403055,web,108836,1,3,,2,2,201,328,95626,T4,T4,2,268976.0
65,87,Clothing,10,10,1,0.0," T-shirts, singlets and other vests",8229,1,No,Yes,No,No,No,VIP,2018-01-02 14:01:23.760000+00:00,6827,,8635,1,3,,2,2,8,197,8234,T3,T3,3,6334.0
66,60,Clothing,55,55,4,0.0,Shirts,2291,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-26 01:40:02.603000+00:00,392092,web,51656,1,3,,1,3,54,1218,2294,T4,T4,4,263795.0
67,54,Clothing,27,27,1,0.0,Skirts,115810,1,No,No,No,No,No,Not VIP,2018-01-30 18:44:05.406000+00:00,397765,web,133729,1,3,,1,3,42,55,115839,,,3,266532.0
68,87,Accessories,16,16,1,14.5035,"Shawls, scarves, mufflers, mantillas, veils and similar articles",88215,1,No,Yes,No,No,No,Not VIP,2018-01-20 03:07:17.050000+00:00,155147,app,99983,2353,4,,2,2,6,211,88237,VIP,VIP,3,32151.0
69,482,Clothing,46,46,1,5.008,Suits,70315,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-12 14:10:23.176000+00:00,107192,app,78799,1,4,,2,2,63,308,70332,T3,T4,3,85871.0
70,92,Clothing,1,1,1,0.0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2885,1,Yes,Yes,Yes,No,Yes,Not VIP,2018-01-31 16:30:28.686000+00:00,387301,web,2972,1,1,,2,2,19,85,2888,VIP,VIP,6,1915.0
71,27,Bags,1,1,12,5.0083,"Handbags, whether or not with shoulder strap, including those without handle",8131,1,No,Yes,No,No,No,Not VIP,2018-01-10 23:46:05.066000+00:00,375815,web,175213,1,1,,2,2,17,356,8136,T3,T3,4,255616.0
72,33,Bags,14,14,1,0.0,"Handbags, whether or not with shoulder strap, including those without handle",98850,1,No,No,No,No,No,Not VIP,2018-01-25 21:20:49.263000+00:00,189105,web,112831,1,3,,1,3,17,147,98873,T4,,3,141965.0
73,171,Clothing,4,4,2,0.0,N/D,136102,1,No,No,No,No,No,Not VIP,2018-01-12 23:59:45.733000+00:00,372398,web,81242,1,3,,1,3,13,238,136133,T4,T4,3,253848.0
74,212,Shoes,18,18,3,0.0,Other footwear,131746,1,No,Yes,No,No,Yes,Not VIP,2018-02-17 06:10:52.863000+00:00,308095,web,153692,1,4,,2,2,152,286,131776,T2,T2,3,6077.0
75,87,Homeware,9,9,2,0.0,Articles of a kind normally carried in the pocket or in the handbag,4084,1,No,No,No,No,Yes,Not VIP,2018-01-03 14:12:43.223000+00:00,395262,web,41958,1,3,,2,2,6,252,4088,T4,T4,3,265328.0
76,2,Shoes,4,4,1,0.0,Footwear with outer soles of rubber or plastics,2451,1,No,Yes,No,No,Yes,Not VIP,2018-01-24 13:35:21.213000+00:00,397862,web,7985,1,3,,2,2,158,2,2454,T4,T4,3,116097.0
77,839,Shoes,5,5,1,0.0,Other footwear,74585,1,No,Yes,No,Yes,No,Not VIP,2018-01-13 08:08:59.656000+00:00,117062,,83736,924,3,,2,2,38,192,74603,T3,T3,3,68160.0
78,94,Clothing,1,1,1,0.0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",28694,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-27 22:41:05.440000+00:00,200384,web,31200,1,1,,2,2,19,335,28702,T2,T2,3,149239.0
79,247,Shoes,16,16,2,34.1055,Footwear with outer soles of rubber or plastics,5533,1,Yes,No,No,Yes,No,Not VIP,2018-01-03 06:56:30.120000+00:00,10936,app,4333,1,4,,5,2,296,15,5537,T4,,3,10014.0
80,113,Clothing,19,19,4,0.0,"Trousers, overalls, shorts",147696,1,Yes,Yes,No,Yes,Yes,VIP,2018-01-08 12:55:40.053000+00:00,51642,,173612,921,4,,2,2,136,184,147728,T2,T2,3,44429.0
81,11,Clothing,1,1,4,5.0083,Jackets and blazers,28391,1,Yes,No,No,Yes,Yes,Not VIP,2018-02-12 21:21:49.703000+00:00,287394,web,139078,1,1,,2,2,2,17,28399,T4,,4,188238.0
82,543,Clothing,1,1,9,0.0," T-shirts, singlets and other vests",18050,1,No,Yes,No,No,No,Not VIP,2018-01-16 22:18:31.550000+00:00,136399,web,90835,1,1,,2,2,8,305,18057,T4,T4,3,92569.0
83,14,Bags,19,19,1,0.0,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar",29605,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-06 16:28:16.703000+00:00,33448,app,32237,1,4,,2,2,6,236,29613,T3,T3,3,29495.0
84,20,Clothing,1,1,4,5.0083,,123645,1,Yes,Yes,No,No,Yes,VIP New,2018-02-10 16:00:43.913000+00:00,276969,web,143621,1,1,,2,2,27,88,123675,T4,,6,196984.0
85,22,Shoes,19,19,1,0.0,Footwear with outer soles of rubber or plastics,2970,1,No,Yes,No,No,No,VIP,2018-01-01 14:47:14.866000+00:00,2158,app,3059,1,4,,2,2,26,152,2973,T2,T2,3,2068.0
86,446,Clothing,5,5,21,0.0,"Coats: overcoats, raincoat, cape, cloaks and similar articles",20884,1,Yes,Yes,No,No,Yes,Not VIP,2018-01-23 15:28:57.790000+00:00,388257,web,22424,1,3,,6,15,150,15,20891,T4,T4,3,261904.0
87,92,Clothing,61,61,20,0.0,,34872,1,Yes,Yes,No,No,Yes,VIP New,2018-01-22 19:36:26.086000+00:00,170302,,38208,1,3,,2,2,35,36,34881,VIP,VIP,6,16839.0
88,86,Clothing,1,1,3,5.0083,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",68091,1,No,Yes,No,No,No,Not VIP,2018-02-02 16:58:00.660000+00:00,371964,web,113122,1,1,,2,2,43,912,68108,,,3,253637.0
89,2,Clothing,42,42,16,5.1665,Jackets and blazers,20326,1,No,No,No,Yes,No,Not VIP,2018-01-22 09:26:04.350000+00:00,167371,web,21800,1,4,,2,2,63,238,20333,T4,,3,127693.0
90,1438,Shoes,29,29,24,0.0,Other footwear with outer soles of leather,52657,1,No,Yes,No,Yes,No,Not VIP,2018-01-10 01:02:59.300000+00:00,396539,web,64830,924,3,,1,3,4,8,52669,,,3,265951.0
91,50,Clothing,4,4,4,0.0," T-shirts, singlets and other vests",81908,1,Yes,Yes,No,No,No,Not VIP,2018-02-03 06:41:15.066000+00:00,235939,,92480,1,3,,2,2,181,305,81928,T3,T3,3,30326.0
92,766,Clothing,9,9,2,0.0,"Coats: overcoats, raincoat, cape, cloaks and similar articles",38250,1,No,No,No,Yes,No,Not VIP,2018-01-08 20:32:07.500000+00:00,372845,web,89981,1,3,,5,3,21,341,38260,,,3,254076.0
93,150,Clothing,1,1,30,5.0083,"Trousers, overalls, shorts",15212,1,No,Yes,No,Yes,No,Not VIP,2018-01-19 17:23:47.980000+00:00,152930,web,16183,1,1,,5,2,295,157,15219,T4,,4,117809.0
94,14,Clothing,1,1,1,0.0,"Trousers, overalls, shorts",70004,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-03 17:53:48.960000+00:00,397316,app,78446,1,1,,2,2,55,334,70021,T4,T4,3,103135.0
95,528,Clothing,4,4,2,0.0,"Trousers, overalls, shorts",107858,1,No,No,No,No,No,Not VIP,2018-02-12 10:33:10.023000+00:00,396431,web,138579,5082,3,,1,3,231,253,107882,T4,,4,211194.0
96,75,Jewellery,2,2,1,34.3683,"Of base metal, whether or not plated with precious metal",78553,1,No,No,No,No,No,Not VIP,2018-02-16 00:04:46.263000+00:00,385165,web,88390,1,1,,2,2,17,283,78571,,,3,260295.0
97,27,Clothing,17,17,4,24.3652,Jackets and blazers,34161,1,No,No,No,Yes,No,Not VIP,2018-01-17 13:09:40.973000+00:00,139758,app,71082,1,4,,2,2,19,33,34170,T1,T1,3,91505.0
98,142,Clothing,12,12,1,26.3626,"Coats: overcoats, raincoat, cape, cloaks and similar articles",155465,1,No,Yes,No,Yes,No,VIP New,2018-01-12 16:09:19.973000+00:00,108718,app,183050,921,4,,2,2,18,81,155498,VIP,VIP,6,4848.0
99,53,Clothing,3,3,1,0.0,Dresses,150302,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-11 22:39:05.410000+00:00,99840,web,176779,924,2,,2,2,9,791,150335,T2,T2,3,80862.0
100,204,Clothing,51,51,1,0.0,"Pantyhose, tights",62180,1,No,Yes,No,Yes,No,Not VIP,2018-01-10 21:51:36.933000+00:00,87589,,69415,1,4,,2,2,1,34,62195,T2,T4,3,71972.0
101,70,Clothing,1,1,10,0.0," T-shirts, singlets and other vests",71721,1,Yes,Yes,No,No,Yes,Not VIP,2018-01-12 18:37:47.853000+00:00,110457,web,80414,1,1,,2,2,14,166,71739,T4,,3,88214.0
102,545,Shoes,5,5,2,0.0,Footwear with outer soles of rubber or plastics,3295,1,No,Yes,No,Yes,No,Not VIP,2018-02-09 17:24:43.873000+00:00,272432,app,3398,1,3,,4,2,4,902,3298,T4,,3,194162.0
103,597,Shoes,1,1,20,5.0083,,155919,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-08 15:47:14.640000+00:00,55294,,183609,928,1,,2,2,77,7,155952,T3,T4,3,47254.0
104,14,Clothing,1,1,1,5.0083," T-shirts, singlets and other vests",96902,1,No,Yes,No,No,No,Not VIP,2018-02-14 08:31:20.450000+00:00,294006,web,110424,1,1,,2,2,55,128,96925,T4,,3,207682.0
105,82,Clothing,14,14,3,0.0,Items of leather clothing & accessories,102770,1,No,Yes,No,Yes,No,Not VIP,2018-01-28 09:58:02.033000+00:00,202275,web,117646,1,3,,1,3,42,1193,102792,T4,,4,150415.0
106,60,Clothing,4,4,9,0.0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",80498,1,No,Yes,No,No,No,Not VIP,2018-02-03 01:17:45.360000+00:00,396744,app,90763,1,3,,2,9,3,62,80517,T2,T2,3,151387.0
107,4,Clothing,4,4,2,0.0,Jackets and blazers,39162,1,Yes,No,No,Yes,Yes,Not VIP,2018-01-08 09:19:25.423000+00:00,46763,web,43048,921,3,,2,2,14,34,39172,T4,,4,40500.0
108,5,Shoes,11,11,1,0.0,Footwear with outer soles of rubber or plastics,20617,1,No,No,No,Yes,Yes,Not VIP,2018-01-04 18:28:05.253000+00:00,20771,web,22128,1,3,,1,3,25,111,20624,T4,,3,18615.0
109,99,Clothing,4,4,2,0.0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",81701,1,No,Yes,No,Yes,No,Not VIP,2018-01-04 21:57:47.780000+00:00,21790,,92229,1,3,,2,2,2,577,81721,T3,T4,4,19532.0
110,11,Clothing,103,103,4,10.8991,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",20398,1,No,No,No,No,No,Not VIP,2018-02-02 12:01:37.396000+00:00,231808,web,21879,1,3,,2,2,35,1198,20405,T4,,3,169154.0
111,43,Clothing,16,16,14,15.4853,"Trousers, overalls, shorts",903,1,No,No,No,Yes,No,Not VIP,2018-01-03 10:08:51.956000+00:00,401400,web,921,1,4,,2,2,27,251,905,,,3,103646.0
112,787,Clothing,1,1,14,5.0083,"Trousers, overalls, shorts",44104,1,No,Yes,No,Yes,No,Not VIP,2018-01-09 14:09:56.213000+00:00,69292,web,52592,924,1,,2,2,34,316,44116,T3,T4,4,57995.0
113,326,Shoes,1,1,1,5.0083,Other footwear with outer soles of leather,25446,1,No,Yes,No,Yes,Yes,VIP,2018-01-23 10:41:34.476000+00:00,173540,web,107203,1,1,,2,2,38,1165,25454,T2,T2,4,131792.0
114,173,Bags,4,4,2,0.0,"Handbags, whether or not with shoulder strap, including those without handle",92700,1,Yes,Yes,No,No,Yes,Not VIP,2018-02-10 19:34:50.993000+00:00,277839,web,105308,1,3,,1,3,6,1214,92722,T4,,3,197514.0
115,64,Teen Girl Clothing,1,1,2,0.0,Jackets and blazers,65242,1,Yes,Yes,No,No,No,VIP New,2018-01-14 06:28:08.826000+00:00,122113,,86168,1,1,,2,2,10,44,65259,VIP,VIP,4,27701.0
116,5,Shoes,1,1,20,5.0083,,18275,1,Yes,Yes,No,Yes,No,VIP New,2018-01-07 10:00:30.433000+00:00,37400,,19528,1,1,,2,2,11,249,18281,T1,T1,3,32847.0
