id,brand,category_1stlevel,country,countrycode,countryoforigin,ddprate,ddpsubcategory,designer,freereturn,hasitemsonbag,hasusedwishlist,isreseller,issale,isusingmultipledevices,isvip,orderdate_gmt,orderportalid,platform,productid,promocode,region,returned,shipper,shiptypeid,size,storeid,style,tierafterorder,tierbeforeorder,userfraudstatus,userid
f25dbb3a4bec6d2c5f8a2d4a79742a78,64,Girls Clothing,12,12,2,39.2339,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",23530,1,Yes,No,No,Yes,No,Not VIP,2018-01-31 13:43:06.600000+00:00,220605,,25365,1,4,,2,2,85,1077,23538,T2,T2,3,73383
fd8fd1962c43c3312f0119c273511919,757,Accessories,16,16,1,12.0945,Sunglasses,68405,1,No,No,No,Yes,No,Not VIP,2018-01-12 06:25:18.600000+00:00,102493,app,76600,1,4,,2,2,1,687,68422,T4,T4,3,82752
84b7b2a6debff9cf1d6c3eec528ce728,73,Clothing,16,16,1,15.4853,"Trousers, overalls, shorts",130074,1,Yes,Yes,No,No,No,VIP New,2018-02-18 11:15:53.980000+00:00,313502,web,155391,1,4,,2,2,9,607,130104,VIP,VIP,6,887
84e1c5ef87572dc6639e03bd7abb672e,99,Shoes,19,19,26,0,Footwear with outer soles of rubber or plastics,4092,1,No,Yes,No,Yes,No,Not VIP,2018-01-19 21:30:43.883000+00:00,154087,app,4232,1,4,,2,2,261,22,4096,T3,T3,3,118626
97b7dd578ceb5e5c56fa129f800c45ed,1635,Clothing,9,9,20,0,,152186,1,No,No,No,Yes,Yes,Not VIP,2018-01-08 22:51:58.993000+00:00,387883,web,94765,921,3,,1,3,63,88,152219,T4,T4,3,261707
760ca4c3ed7a4cf4b4e2118aa99e939d,7,Shoes,46,46,1,5.008,Other footwear,96959,1,Yes,Yes,No,Yes,Yes,VIP,2018-01-18 18:19:20.170000+00:00,147422,web,110501,1,4,,2,2,316,30,96982,T1,T2,3,49926
cd2a583a8798022caff082dd18a745cd,479,Clothing,50,50,1,0,"Trousers, overalls, shorts",88499,1,No,Yes,No,No,Yes,VIP,2018-01-28 21:09:42.650000+00:00,205256,web,100328,1,3,,1,3,56,325,88521,T1,T1,3,11182
e2865dd8ee403b406f0ad6fcec1a1d09,60,Clothing,17,17,4,0,Shirts,130935,1,No,No,No,No,No,Not VIP,2018-02-18 06:16:05.716000+00:00,312700,web,154133,1,4,,2,2,255,62,130965,,,3,218930
240af7a324e0e5ad880a2cc3948947f2,87,Clothing,5,5,2,0," T-shirts, singlets and other vests",79136,1,No,No,No,No,No,Not VIP,2018-01-15 14:39:51.970000+00:00,128349,web,89110,1,3,,4,2,3,33,79155,T4,,3,101007
25a936dc77812f91181ec1a45fab1ea3,14,Accessories,1,1,1,5.0083,,62514,1,No,Yes,No,No,No,Not VIP,2018-01-23 20:33:33.446000+00:00,383241,web,69814,1,1,,2,2,17,26,62530,,,4,259354
2d944dda95412398a39a30b9f8a051b0,105,Clothing,5,5,1,0,"Trousers, overalls, shorts",111145,1,Yes,Yes,No,No,No,Not VIP,2018-02-04 14:39:50.796000+00:00,385907,app,127998,1,3,,2,2,16,22,111170,T2,T2,3,15640
578358ab11df39946d4782597af71ecd,1794,Accessories,1,1,10,0,"Hats and other headgear, knitted or crocheted, or made-up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed",65294,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-13 07:24:08.660000+00:00,116527,web,73022,924,1,,2,2,6,1033,65311,T2,T2,3,92438
8f93582cc777603bbf96619ff8b2c96f,14,Shoes,7,7,1,0,Other footwear with outer soles of leather,9663,0,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-11 04:36:03.843000+00:00,90060,,10193,924,1,,4,4,38,800,9669,T2,T2,8,60854
f66e0c71d3ab32ba83f31499cd8af1ad,158,Clothing,5,5,2,0,,3460,1,No,No,No,Yes,No,Not VIP,2018-01-08 14:42:01.093000+00:00,54001,app,3567,921,3,,2,2,179,44,3463,T2,T3,3,46252
dffa21cf39d2cfd17a57001ad8317fce,46,Clothing,14,14,21,0,"Coats: overcoats, raincoat, cape, cloaks and similar articles",23396,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-10 07:22:09.123000+00:00,78441,web,25213,924,3,,1,3,13,563,23404,T2,T2,4,64976
104a1942ed09ee1cc3f7cf16c23ff10e,81,Shoes,12,12,20,28.7029,,25107,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-05 08:49:25.243000+00:00,383899,app,27176,1,4,,2,2,158,57,25115,,,3,259681
96258f48fbfe90a122b4fcec470dee0f,158,Clothing,64,64,2,5.0083,"Trousers, overalls, shorts",14218,1,No,No,No,No,No,Not VIP,2018-02-13 17:52:39.820000+00:00,291339,web,15107,1,4,,2,2,350,33,14225,T4,,3,205997
23850fee42d50713b8409b19d384b3a9,145,Clothing,7,7,8,0,N/D,108905,0,Yes,Yes,No,No,Yes,Not VIP,2018-02-02 21:01:10.763000+00:00,373926,web,125233,1,1,,4,4,87,998,108929,T4,T4,1,158824
9cd9491326e5ade679200e241eff73d2,200,Clothing,4,4,4,0," T-shirts, singlets and other vests",99586,1,No,No,No,No,No,Not VIP,2018-02-18 16:58:33.503000+00:00,314805,web,113756,5082,3,,1,3,18,1214,99609,T4,,4,220217
4a47d2983c8bd392b120b627e0e1cab4,240,Clothing,7,7,8,0,N/D,615,0,Yes,Yes,No,Yes,No,Not VIP,2018-01-01 03:18:51.710000+00:00,416,,620,1,1,,4,4,145,262,617,T1,T2,7,403
17cdfdaae12b64486b5798c934c7da28,13,Girls Clothing,130,130,2,0,"Trousers, overalls, shorts",87804,1,Yes,Yes,Yes,No,Yes,Not VIP,2018-01-19 20:03:05.503000+00:00,153690,web,99473,1,1,,2,2,48,1054,87826,T1,T1,4,61203
d215c81acddb9f66c5c931fe27b666db,200,Bags,1,1,72,0,,6151,1,No,No,No,No,No,Not VIP,2018-01-13 02:09:15.040000+00:00,114268,web,6414,1,1,,3,2,1,341,6155,,,1,90949
e88bd319e7d4bf12636202d7cfbf07a0,145,Clothing,7,7,8,0," T-shirts, singlets and other vests",46938,0,No,No,No,No,No,Not VIP,2018-01-08 18:38:02.886000+00:00,57975,web,51909,1,1,,3,4,845,998,46951,T4,,3,49383
468259ae96573181c61d64cb4e75310a,14,Shoes,1,1,1,12.0768,Other footwear with outer soles of leather,54902,1,Yes,No,No,No,No,Not VIP,2018-02-06 20:00:19.813000+00:00,255774,web,60989,1,1,,2,2,53,1115,54914,T3,T4,4,72774
26b5ce0e277bb686d597736e5dff7d0f,15,Shoes,1,1,1,0,Footwear with outer soles of leather or composition leather,15,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-08 15:33:49.893000+00:00,265950,web,92440,1,1,,2,2,12,1071,15,T4,T4,4,124973
9a79aa8d8d9f3a470d3bd7151977157e,808,Accessories,14,14,1,0,Sunglasses,92591,1,No,Yes,No,No,Yes,Not VIP,2018-02-01 09:32:20.453000+00:00,379356,web,105170,1,3,,2,2,441,357,92613,,,2,257416
f7463bc4916bc96d92ab0e6b9e55bf95,200,Bags,15,15,26,0,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar",27482,1,No,No,No,No,No,Not VIP,2018-01-26 09:55:17.143000+00:00,191619,web,29850,3263,4,,2,2,1,227,27490,T4,,3,143521
7c412b764b7e267c2c642b35177dd61a,1317,Accessories,5,5,1,0,Sunglasses,149393,1,No,No,No,No,No,Not VIP,2018-02-05 11:18:42.220000+00:00,377197,web,175677,1,3,,2,2,1,861,149426,T4,T4,3,256318
3ff2fd2cdfcff5b22897b23fde824b90,674,Clothing,19,19,35,0,Jackets and blazers,101458,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-27 12:33:51.803000+00:00,197808,web,116044,1,4,,2,2,305,594,101480,T2,T2,3,147483
2b505b01d3ae5f0aff886e547d44c0e6,1181,Bags,15,15,1,12.9314,"Handbags, whether or not with shoulder strap, including those without handle",105080,1,Yes,Yes,No,No,No,Not VIP,2018-02-03 18:17:08+00:00,395352,app,132385,1,4,,2,2,17,15,105102,T4,T4,4,113498
033c253e16760c3b1de8b9c807e10bf7,27,Accessories,1,1,12,12.833,Articles of a kind normally carried in the pocket or in the handbag,5708,1,No,Yes,No,Yes,No,Not VIP,2018-01-05 16:17:54.556000+00:00,26711,web,8494,1,1,,2,2,17,34,5712,T4,,4,23729
4f177e11d72258cfcbacbb5db86cce83,409,Clothing,16,16,1,15.4853,Skirts,50970,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-09 07:17:07.053000+00:00,64645,,56467,924,4,,2,2,57,595,50982,T1,T2,3,53219
2806fff0f4ed5a0da0ab0246d509d341,144,Clothing,11,11,1,0," T-shirts, singlets and other vests",97712,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-25 21:40:11.633000+00:00,189191,web,111445,1,3,,2,9,3,138,97735,T4,,3,142023
fa41b70e7892771212779182921bd194,152,Clothing,4,4,1,19.4557,"Trousers, overalls, shorts",22470,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-10 01:38:59.980000+00:00,76101,web,24193,924,3,,2,2,120,183,22478,VIP,VIP,6,63250
39204b85a0184b6e928f78597d2bb146,33,Accessories,7,7,1,0,"Other e.g. braces, suspenders, garters and similar articles",15889,0,No,Yes,No,No,No,Not VIP,2018-01-24 16:43:37.413000+00:00,181506,web,109557,1,1,,2,2,6,15,15896,T4,,3,136954
b4eefdc6de81b0e7d0c3946babac0e2f,176,Clothing,19,19,123,0,,62658,1,Yes,Yes,No,No,Yes,VIP New,2018-01-21 14:38:20.746000+00:00,163008,,69972,2520,4,,2,2,52,7,62674,VIP,VIP,6,17694
08d1a927602b894110fcc9e0c4a80310,2,Clothing,3,3,4,0," T-shirts, singlets and other vests",28166,1,Yes,No,No,No,No,Not VIP,2018-02-06 09:08:28.863000+00:00,381954,,89023,1,2,,2,2,14,314,28174,,,3,258731
ef76e9590f4a61a1240709082a424eda,52,Shoes,1,1,1,5.0083,Other footwear with outer soles of leather,68134,1,No,No,No,Yes,No,Not VIP,2018-01-29 14:53:38.080000+00:00,376639,web,108489,1,1,,2,2,72,349,68151,,,4,256041
e0e90cb84a6ed892316ee6d2fde19b13,67,Clothing,20,20,20,0,,68186,1,Yes,Yes,No,No,No,VIP New,2018-01-26 23:29:28.850000+00:00,195205,app,115073,1,3,,2,2,3,341,68203,VIP,VIP,4,95618
c822d74bd01e9faaccaec69830345c1c,11,Homeware,5,5,2,0,Articles of a kind normally carried in the pocket or in the handbag,24755,1,No,Yes,No,No,No,Not VIP,2018-02-13 20:34:17.616000+00:00,292011,web,26751,5082,3,,2,2,1,183,24763,T4,,3,206420
cb4d6bd557f200317061723add2c37f4,902,Bags,1,1,24,0,"Handbags, whether or not with shoulder strap, including those without handle",2264,1,Yes,Yes,Yes,No,Yes,Not VIP,2018-01-12 12:48:27.110000+00:00,106188,,78311,1,1,,2,2,17,1095,2267,VIP,VIP,6,1915
d65541d6015ce2ccfd7b77fdc38cf9c8,1814,Clothing,4,4,65,0,"Trousers, overalls, shorts",39687,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-08 09:46:49.463000+00:00,47500,web,43638,921,3,,1,3,33,78,39697,T4,T4,3,41107
6ba1085b788407963fe0e89c699a7396,82,Clothing,9,9,20,0,,3583,1,Yes,Yes,No,No,Yes,Not VIP,2018-01-01 16:56:00.076000+00:00,2638,web,3701,1,3,,2,2,57,216,3587,T4,,3,2526
d0b8941915d581a85ad9d131e1b9877e,419,Teen Boy Clothing,46,46,2,5.008,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",39527,1,Yes,Yes,No,Yes,Yes,VIP New,2018-01-08 09:36:53.266000+00:00,47260,,43458,921,4,,4,2,10,163,39537,VIP,VIP,6,40915
3391461bae5acf47a3d79d3e11007b27,70,Clothing,24,24,10,28.26,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",22837,1,No,Yes,No,No,Yes,Not VIP,2018-01-23 13:42:09.340000+00:00,384048,web,87427,1,3,,2,2,2,1070,22845,T4,T4,3,259751
2b2e7393b05b5b52af65bf2ed7f4ad4f,211,Bags,4,4,11,0,"Handbags, whether or not with shoulder strap, including those without handle",104704,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-02 13:49:46.226000+00:00,388718,web,120023,1,3,,1,3,1,116,104726,,,3,262129
d14e8dae0f155909a6223a4859944278,99,Shoes,18,18,26,0,Footwear with outer soles of rubber or plastics,4678,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-13 14:26:29.720000+00:00,403071,web,4859,1,4,,2,2,198,1242,4682,T4,T4,4,199532
42c23523358d33619485db0a458fece0,218,Clothing,9,9,1,0,Items of leather clothing & accessories,517,1,No,Yes,No,Yes,No,Not VIP,2018-01-08 17:43:03.166000+00:00,391636,web,522,921,3,,1,3,181,7,519,T3,T3,3,231431
28f09f74e1c15ed941dee22fb97ce588,203,Shoes,9,9,26,0,Footwear with outer soles of rubber or plastics,5065,1,No,No,No,Yes,No,Not VIP,2018-01-14 18:23:00.050000+00:00,389403,web,5861,1,3,,1,3,210,539,5069,,,3,262466
abe60df9f489171039a64d33fb57c4e9,80,Activewear,1,1,20,0,,107519,1,No,Yes,No,No,Yes,Not VIP,2018-02-15 14:04:55.816000+00:00,300046,web,123545,1,1,,2,2,109,86,107542,T2,,3,211257
364d32e2042626621c9c632a5931ec98,139,Boys Clothing,19,19,4,0,"T-shirts, singlets and other vests",13633,1,Yes,No,Yes,Yes,No,Not VIP,2018-01-09 20:09:09.960000+00:00,73587,,51654,924,4,,2,2,65,56,13640,VIP,VIP,6,60107
1177c2f07f3455fe35db162788bb8b25,92,Clothing,3,3,1,0,Swimwear,2448,1,No,Yes,No,No,No,Not VIP,2018-01-08 00:29:48.583000+00:00,41416,web,2520,1,2,,2,2,29,15,2451,T3,T3,3,36280
3a69f498fe1550d19f013f0ba0b3903b,28,Clothing,16,16,20,15.4853,N/D,84598,1,No,Yes,Yes,No,Yes,Not VIP,2018-02-07 02:55:44.100000+00:00,257339,web,95647,1,4,,2,2,71,78,84619,T1,T2,3,165771
be8fc1ad3711dcecc4a176de9117966c,106,Clothing,4,4,2,39.3721,Dresses,137505,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-01 20:34:27.003000+00:00,384891,web,160742,1,3,,2,2,19,666,137535,,,4,260161
c26e59017b077ef0b4e29f932d79cb9a,67,Clothing,30,30,1,10.9244,"Trousers, overalls, shorts",95603,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-07 18:19:41.730000+00:00,403055,web,108836,1,3,,2,2,201,328,95626,T4,T4,2,268976
ef77022c7b788c29c95a72a87414cd96,87,Clothing,10,10,1,0," T-shirts, singlets and other vests",8229,1,No,Yes,No,No,No,VIP,2018-01-02 14:01:23.760000+00:00,6827,,8635,1,3,,2,2,8,197,8234,T3,T3,3,6334
cfda917d7dc82fc2f2c3a6c602a4160b,60,Clothing,55,55,4,0,Shirts,2291,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-01-26 01:40:02.603000+00:00,392092,web,51656,1,3,,1,3,54,1218,2294,T4,T4,4,263795
0996fed27d6d0b4828ca0787be6fc32c,54,Clothing,27,27,1,0,Skirts,115810,1,No,No,No,No,No,Not VIP,2018-01-30 18:44:05.406000+00:00,397765,web,133729,1,3,,1,3,42,55,115839,,,3,266532
1a6833c30d5dc09a71fbb32c2a3a54a9,87,Accessories,16,16,1,14.5035,"Shawls, scarves, mufflers, mantillas, veils and similar articles",88215,1,No,Yes,No,No,No,Not VIP,2018-01-20 03:07:17.050000+00:00,155147,app,99983,2353,4,,2,2,6,211,88237,VIP,VIP,3,32151
551c89c6b6d4c1678b8019abf50c8c15,482,Clothing,46,46,1,5.008,Suits,70315,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-12 14:10:23.176000+00:00,107192,app,78799,1,4,,2,2,63,308,70332,T3,T4,3,85871
f09bfc0573c31da10537b8dd9785d617,92,Clothing,1,1,1,0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",2885,1,Yes,Yes,Yes,No,Yes,Not VIP,2018-01-31 16:30:28.686000+00:00,387301,web,2972,1,1,,2,2,19,85,2888,VIP,VIP,6,1915
d92cea4b739b464568f8ec9f6fc93622,27,Bags,1,1,12,5.0083,"Handbags, whether or not with shoulder strap, including those without handle",8131,1,No,Yes,No,No,No,Not VIP,2018-01-10 23:46:05.066000+00:00,375815,web,175213,1,1,,2,2,17,356,8136,T3,T3,4,255616
0a943887fb185b0d0ddde9d51feb54ed,33,Bags,14,14,1,0,"Handbags, whether or not with shoulder strap, including those without handle",98850,1,No,No,No,No,No,Not VIP,2018-01-25 21:20:49.263000+00:00,189105,web,112831,1,3,,1,3,17,147,98873,T4,,3,141965
5b5aca7815d740550abc71f414aef864,171,Clothing,4,4,2,0,N/D,136102,1,No,No,No,No,No,Not VIP,2018-01-12 23:59:45.733000+00:00,372398,web,81242,1,3,,1,3,13,238,136133,T4,T4,3,253848
7f15ec0df57e078a59d57874ba111f17,212,Shoes,18,18,3,0,Other footwear,131746,1,No,Yes,No,No,Yes,Not VIP,2018-02-17 06:10:52.863000+00:00,308095,web,153692,1,4,,2,2,152,286,131776,T2,T2,3,6077
476d4d316a8d5e9747eda32700173553,87,Homeware,9,9,2,0,Articles of a kind normally carried in the pocket or in the handbag,4084,1,No,No,No,No,Yes,Not VIP,2018-01-03 14:12:43.223000+00:00,395262,web,41958,1,3,,2,2,6,252,4088,T4,T4,3,265328
bffb5ea8cb7d1afdc789b3031ed35597,2,Shoes,4,4,1,0,Footwear with outer soles of rubber or plastics,2451,1,No,Yes,No,No,Yes,Not VIP,2018-01-24 13:35:21.213000+00:00,397862,web,7985,1,3,,2,2,158,2,2454,T4,T4,3,116097
bcfc06227ae641791bd26076cc52cb06,839,Shoes,5,5,1,0,Other footwear,74585,1,No,Yes,No,Yes,No,Not VIP,2018-01-13 08:08:59.656000+00:00,117062,,83736,924,3,,2,2,38,192,74603,T3,T3,3,68160
e6caf70d235747a639f9aae3a3f8b6f5,94,Clothing,1,1,1,0,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted",28694,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-27 22:41:05.440000+00:00,200384,web,31200,1,1,,2,2,19,335,28702,T2,T2,3,149239
4c21c9d351543562af3562a7add8685f,247,Shoes,16,16,2,34.1055,Footwear with outer soles of rubber or plastics,5533,1,Yes,No,No,Yes,No,Not VIP,2018-01-03 06:56:30.120000+00:00,10936,app,4333,1,4,,5,2,296,15,5537,T4,,3,10014
5442903c1c5f39cd26119308ac2cf4b4,113,Clothing,19,19,4,0,"Trousers, overalls, shorts",147696,1,Yes,Yes,No,Yes,Yes,VIP,2018-01-08 12:55:40.053000+00:00,51642,,173612,921,4,,2,2,136,184,147728,T2,T2,3,44429
68066eb3364665032d61e4ac4bba97c6,11,Clothing,1,1,4,5.0083,Jackets and blazers,28391,1,Yes,No,No,Yes,Yes,Not VIP,2018-02-12 21:21:49.703000+00:00,287394,web,139078,1,1,,2,2,2,17,28399,T4,,4,188238
027ef20f330f76a005613ea3ccf71dfd,543,Clothing,1,1,9,0," T-shirts, singlets and other vests",18050,1,No,Yes,No,No,No,Not VIP,2018-01-16 22:18:31.550000+00:00,136399,web,90835,1,1,,2,2,8,305,18057,T4,T4,3,92569
0820059bbd47e4c9449d3582bc670770,14,Bags,19,19,1,0,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar",29605,1,Yes,Yes,No,Yes,No,Not VIP,2018-01-06 16:28:16.703000+00:00,33448,app,32237,1,4,,2,2,6,236,29613,T3,T3,3,29495
31f19fe6ed1cc14a1e9f944f399bfd3a,20,Clothing,1,1,4,5.0083,,123645,1,Yes,Yes,No,No,Yes,VIP New,2018-02-10 16:00:43.913000+00:00,276969,web,143621,1,1,,2,2,27,88,123675,T4,,6,196984
add7a048049671970976f3e18f21ade3,22,Shoes,19,19,1,0,Footwear with outer soles of rubber or plastics,2970,1,No,Yes,No,No,No,VIP,2018-01-01 14:47:14.866000+00:00,2158,app,3059,1,4,,2,2,26,152,2973,T2,T2,3,2068
841d899aec2688a46096c8b90e008430,446,Clothing,5,5,21,0,"Coats: overcoats, raincoat, cape, cloaks and similar articles",20884,1,Yes,Yes,No,No,Yes,Not VIP,2018-01-23 15:28:57.790000+00:00,388257,web,22424,1,3,,6,15,150,15,20891,T4,T4,3,261904
98e60b0e198670883d9c9cfc5436dc91,92,Clothing,61,61,20,0,,34872,1,Yes,Yes,No,No,Yes,VIP New,2018-01-22 19:36:26.086000+00:00,170302,,38208,1,3,,2,2,35,36,34881,VIP,VIP,6,16839
9876c5a479b0a4d701abf3f18d6858a5,86,Clothing,1,1,3,5.0083,"Coats: overcoats, raincoat, cape, cloak, ski jackets, windcheaters, wind-jackets and similar articles",68091,1,No,Yes,No,No,No,Not VIP,2018-02-02 16:58:00.660000+00:00,371964,web,113122,1,1,,2,2,43,912,68108,,,3,253637
16990d0ac148d4c619ed5bed5848e275,2,Clothing,42,42,16,5.1665,Jackets and blazers,20326,1,No,No,No,Yes,No,Not VIP,2018-01-22 09:26:04.350000+00:00,167371,web,21800,1,4,,2,2,63,238,20333,T4,,3,127693
ce7bdcb4190f77092f10bdaa0964dcc5,1438,Shoes,29,29,24,0,Other footwear with outer soles of leather,52657,1,No,Yes,No,Yes,No,Not VIP,2018-01-10 01:02:59.300000+00:00,396539,web,64830,924,3,,1,3,4,8,52669,,,3,265951
ee72f3106431b33772eb7eb108bd6a16,50,Clothing,4,4,4,0," T-shirts, singlets and other vests",81908,1,Yes,Yes,No,No,No,Not VIP,2018-02-03 06:41:15.066000+00:00,235939,,92480,1,3,,2,2,181,305,81928,T3,T3,3,30326
c6fcf2fd339ad6e95c472eda3a385163,766,Clothing,9,9,2,0,"Coats: overcoats, raincoat, cape, cloaks and similar articles",38250,1,No,No,No,Yes,No,Not VIP,2018-01-08 20:32:07.500000+00:00,372845,web,89981,1,3,,5,3,21,341,38260,,,3,254076
e1cfe4f4e983a9ec346d216b08410933,150,Clothing,1,1,30,5.0083,"Trousers, overalls, shorts",15212,1,No,Yes,No,Yes,No,Not VIP,2018-01-19 17:23:47.980000+00:00,152930,web,16183,1,1,,5,2,295,157,15219,T4,,4,117809
e533db030d4a9f2f96428c7929c317f4,14,Clothing,1,1,1,0,"Trousers, overalls, shorts",70004,1,Yes,Yes,No,Yes,Yes,Not VIP,2018-02-03 17:53:48.960000+00:00,397316,app,78446,1,1,,2,2,55,334,70021,T4,T4,3,103135
3671280bf8a5755efffedda22cb3eb9d,528,Clothing,4,4,2,0,"Trousers, overalls, shorts",107858,1,No,No,No,No,No,Not VIP,2018-02-12 10:33:10.023000+00:00,396431,web,138579,5082,3,,1,3,231,253,107882,T4,,4,211194
3de66c08d32e90eeb518b0f707ff4057,75,Jewellery,2,2,1,34.3683,"Of base metal, whether or not plated with precious metal",78553,1,No,No,No,No,No,Not VIP,2018-02-16 00:04:46.263000+00:00,385165,web,88390,1,1,,2,2,17,283,78571,,,3,260295
f06d155056e6cea8e42d98a7b8f34fd1,27,Clothing,17,17,4,24.3652,Jackets and blazers,34161,1,No,No,No,Yes,No,Not VIP,2018-01-17 13:09:40.973000+00:00,139758,app,71082,1,4,,2,2,19,33,34170,T1,T1,3,91505
8b9d3beae055d112387aeb39b6f83ec6,142,Clothing,12,12,1,26.3626,"Coats: overcoats, raincoat, cape, cloaks and similar articles",155465,1,No,Yes,No,Yes,No,VIP New,2018-01-12 16:09:19.973000+00:00,108718,app,183050,921,4,,2,2,18,81,155498,VIP,VIP,6,4848
ae91c4f6686edf6128e606cead68f32b,53,Clothing,3,3,1,0,Dresses,150302,1,No,Yes,No,Yes,Yes,Not VIP,2018-01-11 22:39:05.410000+00:00,99840,web,176779,924,2,,2,2,9,791,150335,T2,T2,3,80862
c11eced57a5194ecf83f810159dd652e,204,Clothing,51,51,1,0,"Pantyhose, tights",62180,1,No,Yes,No,Yes,No,Not VIP,2018-01-10 21:51:36.933000+00:00,87589,,69415,1,4,,2,2,1,34,62195,T2,T4,3,71972
1cbe694e9776681f6100f8646840a2c1,70,Clothing,1,1,10,0," T-shirts, singlets and other vests",71721,1,Yes,Yes,No,No,Yes,Not VIP,2018-01-12 18:37:47.853000+00:00,110457,web,80414,1,1,,2,2,14,166,71739,T4,,3,88214
